duration,retry_count,status,error_type,message,label
12.4,0,success,none,Model completed successfully,0
10.1,0,success,none,Run completed,0
14.8,0,success,none,Transformation step finished,0
9.6,0,success,none,Loaded table successfully,0
45.8,0,error,dbt_error,Schema mismatch detected in transformed table,1
38.2,0,error,dbt_error,Column type mismatch while casting fields,1
41.0,0,error,dbt_error,Schema drift: missing expected column,1
30.2,0,error,dbt_error,Timeout while loading data into warehouse,1
55.1,0,error,dbt_error,Timed out waiting for query execution,1
22.7,0,error,dbt_error,Source file not found in staging path,1
18.9,0,error,dbt_error,No such file or directory during extract,1
26.4,0,error,dbt_error,Permission denied while writing to warehouse,1
19.3,0,error,dbt_error,Unauthorized access to dataset,1
34.6,0,error,dbt_error,Data quality check failed: null constraint violated,1
29.8,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
15.0,0,success,none,Task completed successfully in 15 seconds after 0 retries,0
40.0,2,failed,schema_mismatch,Task failed due to schema mismatch in 40 seconds after 2 retries,1
25.0,1,failed,missing_file,Task error: file not found in 25 seconds after 1 retries,1
12.0,0,success,none,Task completed successfully in 12 seconds after 0 retries,0
18.0,1,failed,permission,Task failed because permission denied in 18 seconds after 1 retries,1
50.0,3,failed,timeout,Task failed due to timeout in 50 seconds after 3 retries,1
29.0,1,failed,data_quality,Task failed due to data quality check: null values found in 29 seconds after 1 retries,1
50.0,2,failed,data_quality,Task failed due to data quality check: null values found in 50 seconds after 2 retries,1
32.0,1,failed,schema_mismatch,Task failed due to schema mismatch in 32 seconds after 1 retries,1
109.0,1,failed,data_quality,Task failed due to data quality check: null values found in 109 seconds after 1 retries,1
69.0,1,failed,permission,Task failed because permission denied in 69 seconds after 1 retries,1
10.0,0,success,none,Task completed successfully in 10 seconds after 0 retries,0
79.0,1,failed,schema_mismatch,Task failed due to schema mismatch in 79 seconds after 1 retries,1
40.0,4,failed,permission,Task failed because permission denied in 40 seconds after 4 retries,1
72.0,3,failed,schema_mismatch,Task failed due to schema mismatch in 72 seconds after 3 retries,1
32.0,0,success,none,Task completed successfully in 32 seconds after 0 retries,0
69.0,3,failed,data_quality,Task failed due to data quality check: null values found in 69 seconds after 3 retries,1
34.0,2,failed,missing_file,Task error: file not found in 34 seconds after 2 retries,1
28.0,1,failed,missing_file,Task error: file not found in 28 seconds after 1 retries,1
27.0,3,failed,timeout,Task failed due to timeout in 27 seconds after 3 retries,1
92.0,3,failed,missing_file,Task error: file not found in 92 seconds after 3 retries,1
31.0,1,success,none,Task completed successfully in 31 seconds after 1 retries,0
30.0,4,failed,permission,Task failed because permission denied in 30 seconds after 4 retries,1
25.0,0,success,none,Task completed successfully in 25 seconds after 0 retries,0
94.0,3,failed,data_quality,Task failed due to data quality check: null values found in 94 seconds after 3 retries,1
