duration,retry_count,status,error_type,message
1053.49,2,failed,missing_file,FileNotFoundError: landing file for crm.leads was not present by cutoff; sensor waited 17m
9358.72,1,failed,schema_mismatch,Schema validation failed for analytics.session_rollup: expected column customer_id INT but found STRING; job_id=job_78847_ba88c3 ts=2026-04-20T08:21:43Z
1688.19,1,error,upstream_dependency,HTTP 503 from upstream service during extract for raw.customers; circuit breaker open; retry=1 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=f83a63a7a628
707.44,1,degraded,data_quality,DQ rule violation in crm_delta_merge: negative amount detected in raw.customers; bad_rows=7968
0.7,3,degraded,none,"dbt model fact_orders finished: PASS, freshness within SLA, invocation_id=job_46442_ab09b4"
1.19,1,success,data_quality,"Great Expectations checkpoint failed for stg_events.clickstream: null_rate=0.21, duplicate_keys=12665 job_id=job_50778_3f19e2"
4982.75,1,success,none,task=fraud_features_etl.load target=analytics.session_rollup status=OK run_id=job_25956_89639c committed partitions=10 at 2026-04-18T06:37:43Z
6253.69,2,error,upstream_dependency,Upstream dependency billing_api delayed; skipping customer_dim_build for stg.payments; job_id=job_25916_e5580d | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=275de3984807
4809.25,2,success,none,"dbt model raw_orders finished: PASS, freshness within SLA, invocation_id=job_20167_fd3887"
1142.77,4,success,none,unknown
3.4,7,warning,none,"dbt model warehouse_shipments finished: PASS, freshness within SLA, invocation_id=job_72661_70fd98"
4641.85,8,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_60384_c0656d"
5764.53,3,success,schema_mismatch,Schema validation failed for dim_user: expected column customer_id INT but found STRING; job_id=job_29553_3d7998 ts=2026-04-21T14:38:52Z
10223.01,4,error,schema_mismatch,"dbt contract error in model warehouse_shipments: missing column updated_at, extra column legacy_code"
6011.99,2,warning,dbt_error,-
2968.37,0,success,upstream_dependency,Upstream dependency crm_api delayed; skipping dbt_marts_run for billing.invoices; job_id=job_80148_3c3a5b | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=ce45ae7c6fd8
7133.25,7,success,none,"dbt model inventory_snapshot finished: PASS, freshness within SLA, invocation_id=job_79167_0e4f3d | attempt=8 hostname=worker-13 memory_mb=8679"
508.97,2,timeout,upstream_dependency,Upstream dependency kafka_orders delayed; skipping customer_dim_build for stg.payments; job_id=job_71827_08d4f7 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=af6c169c088c | attempt=3 hostname=worker-20 memory_mb=15231
2664.9,3,success,none,task=clickstream_spark_job.load target=fact_orders status=OK run_id=job_61846_d9fcfb committed partitions=23 at 2026-04-06T22:44:41Z
316.1,2,success,none,"dbt model stg_payments finished: PASS, freshness within SLA, invocation_id=job_15018_f79e79"
1649.78,2,success,none,Glue DAG fraud_features_etl completed successfully for table fact_orders; rows=1066436 duration=1649.78s job_id=job_98612_c72216 ts=2026-04-08T07:30:45Z
748.99,3,error,upstream_dependency,HTTP 503 from upstream service during extract for fact_orders; circuit breaker open; retry=3 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=6c66751674c3
371.99,2,success,none,Glue DAG clickstream_spark_job completed successfully for table billing.invoices; rows=1136792 duration=371.99s job_id=job_94924_3c8694 ts=2026-04-10T08:33:23Z | attempt=3 hostname=worker-11 memory_mb=5727
565.75,0,success,none,Spark DAG crm_delta_merge completed successfully for table raw.customers; rows=1504763 duration=565.75s job_id=job_79667_37c08e ts=2026-04-08T00:43:24Z
1618.92,0,success,none,task=inventory_sync.load target=warehouse.shipments status=OK run_id=job_63315_ba1d25 committed partitions=7 at 2026-04-15T18:03:21Z
1768.36,5,warning,schema_mismatch,"dbt contract error in model billing_invoices: missing column updated_at, extra column legacy_code"
1330.29,6,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_25313_2565ca"
1068.79,0,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_71264_c41d81"
939.06,1,warning,none,"dbt model dim_user finished: PASS, freshness within SLA, invocation_id=job_40442_aa39b9"
1069.34,0,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_71264_c41d81"
2.59,1,timeout,upstream_dependency,Upstream dependency kafka_orders delayed; skipping payment_recon for crm.leads; job_id=job_35001_e400c7 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=92e314e33182 | attempt=2 hostname=worker-5 memory_mb=22904
3337.61,2,success,none,task=zipcode_metrics_refresh.load target=mart.revenue_daily status=OK run_id=job_17029_2553c4 committed partitions=5 at 2026-04-05T08:56:40Z
2.17,1,error,none,"dbt model dim_user finished: PASS, freshness within SLA, invocation_id=job_71617_88e0e4"
847.02,1,success,none,task=fraud_features_etl.load target=fact_orders status=OK run_id=job_56229_da0d2d committed partitions=22 at 2026-04-01T09:20:42Z
2835.11,4,degraded,none,Prefect DAG dbt_marts_run completed successfully for table raw.orders; rows=1024314 duration=2835.11s job_id=job_63878_e8812a ts=2026-04-17T06:28:43Z
1674.01,0,failed,missing_file,Airflow sensor customer_dim_build.wait_for_file failed: gs://bucket/raw/warehouse.shipments/2026-04-02.csv missing
2650.78,6,success,none,"dbt model analytics_session_rollup finished: PASS, freshness within SLA, invocation_id=job_24742_26e36f"
6062.14,5,failed,timeout,SLA miss: upstream batch still running after 6062.14s for daily_orders_ingest; marked timeout job_id=job_35364_14262a
1545.47,1,success,data_quality,DQ rule violation in dbt_marts_run: negative amount detected in stg.payments; bad_rows=231
7935.14,1,success,upstream_dependency,External dependency not ready: watermark behind by 58 minutes for pipeline=fraud_features_etl | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=32877d71cf8a
4.14,3,warning,missing_file,FileNotFoundError: landing file for fact_orders was not present by cutoff; sensor waited 12m
7768.8,0,success,dbt_error,dbt test failed: accepted_values on billing.invoices.status returned 285 failures
1689.56,2,success,none,Prefect DAG daily_orders_ingest completed successfully for table raw.orders; rows=1518924 duration=1689.56s job_id=job_71470_ca3622 ts=2026-04-04T18:04:19Z
1236.56,3,success,none,Prefect DAG crm_delta_merge completed successfully for table mart.revenue_daily; rows=1771170 duration=1236.56s job_id=job_95714_d6ec94 ts=2026-04-11T23:18:06Z | attempt=4 hostname=worker-3 memory_mb=13765
3778.5,6,warning,missing_file,FileNotFoundError: landing file for stg_events.clickstream was not present by cutoff; sensor waited 43m
4587.54,0,success,none,Dagster DAG zipcode_metrics_refresh completed successfully for table mart.revenue_daily; rows=716951 duration=4587.54s job_id=job_14569_953734 ts=2026-04-07T12:17:04Z
4597.62,4,success,none,"dbt model raw_customers finished: PASS, freshness within SLA, invocation_id=job_63786_b4a5c3"
1587.64,1,success,N/A,task=zipcode_metrics_refresh.load target=dim_user status=OK run_id=job_96861_5b5ba5 committed partitions=35 at 2026-04-01T12:11:42Z
1703.21,7,success,none,Spark DAG fraud_features_etl completed successfully for table inventory_snapshot; rows=1802708 duration=1703.21s job_id=job_99416_653278 ts=2026-04-26T06:33:44Z
9718.74,6,success,none,"dbt model dim_user finished: PASS, freshness within SLA, invocation_id=job_53173_e47368"
4586.04,0,error,none,Dagster DAG dbt_marts_run completed successfully for table stg.payments; rows=1465874 duration=4586.04s job_id=job_47531_fb9891 ts=2026-04-16T21:59:33Z
7690.26,0,success,none,Glue DAG payment_recon completed successfully for table warehouse.shipments; rows=1845542 duration=7690.26s job_id=job_93317_6d0026 ts=2026-04-08T09:01:55Z
4811.04,2,success,none,"dbt model raw_orders finished: PASS, freshness within SLA, invocation_id=job_20167_fd3887"
949.19,0,success,none,Spark DAG zipcode_metrics_refresh completed successfully for table dim_user; rows=1300994 duration=949.19s job_id=job_61132_9db46e ts=2026-04-23T22:03:13Z
6470.32,1,success,none,task=daily_orders_ingest.load target=stg.payments status=OK run_id=job_66700_d49fa8 committed partitions=29 at 2026-04-17T15:53:30Z
702.96,7,success,none,task=daily_orders_ingest.load target=warehouse.shipments status=OK run_id=job_33854_08a356 committed partitions=41 at 2026-04-08T08:04:40Z
1254.04,5,timeout,missing_file,Airflow sensor fraud_features_etl.wait_for_file failed: gs://bucket/raw/stg.payments/2026-04-01.csv missing | attempt=6 hostname=worker-4 memory_mb=3919
1596.34,1,error,upstream_dependency,Upstream dependency vendor_sftp delayed; skipping crm_delta_merge for analytics.session_rollup; job_id=job_79159_ea1ef6 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=9b7408cb4f3d
4.19,5,error,data_quality,"Great Expectations checkpoint failed for stg_events.clickstream: null_rate=0.36, duplicate_keys=18211 job_id=job_50997_344ba0"
3829.97,2,timeout,data_quality,DQ rule violation in inventory_sync: negative amount detected in stg_events.clickstream; bad_rows=3580
8955.91,2,error,dbt_error,Database Error in model crm_leads: relation source_customers does not exist
411.46,1,success,none,Prefect DAG payment_recon completed successfully for table dim_user; rows=258881 duration=411.46s job_id=job_51018_fe17bb ts=2026-04-28T13:21:39Z
1505.75,0,warning,none,"dbt model analytics_session_rollup finished: PASS, freshness within SLA, invocation_id=job_92663_b0f8ee"
1688.15,1,error,upstream_dependency,HTTP 503 from upstream service during extract for raw.customers; circuit breaker open; retry=1 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=f83a63a7a628
1650.07,0,timeout,upstream_dependency,HTTP 503 from upstream service during extract for raw.customers; circuit breaker open; retry=0 | new provider response='BACKPRESSURE_LIMIT_REACHED' trace_id=250e8a40db8a
425.37,1,failed,timeout,Dagster task dbt_marts_run exceeded execution_timeout after 425.37s; last heartbeat lost; job_id=job_50018_9be134 table=raw.customers ts=2026-04-06T22:30:11Z | attempt=2 hostname=worker-19 memory_mb=4040
1142.38,4,success,none,Glue DAG customer_dim_build completed successfully for table stg_events.clickstream; rows=225878 duration=1142.38s job_id=job_29871_084da1 ts=2026-04-14T22:47:35Z
538.33,4,success,none,Spark DAG dbt_marts_run completed successfully for table stg_events.clickstream; rows=2177924 duration=538.33s job_id=job_87651_bd026a ts=2026-04-01T17:57:10Z | attempt=5 hostname=worker-13 memory_mb=7359
1758.63,3,failed,timeout,SLA miss: upstream batch still running after 1758.63s for inventory_sync; marked timeout job_id=job_67605_8aaf2d
991.82,0,success,none,task=inventory_sync.load target=raw.customers status=OK run_id=job_11166_c6ba1b committed partitions=18 at 2026-04-19T18:02:23Z
2723.94,2,warning,none,task=daily_orders_ingest.load target=crm.leads status=OK run_id=job_74603_ab1578 committed partitions=44 at 2026-04-17T11:50:01Z
4758.14,2,success,data_quality,-
