duration,retry_count,status,error_type,message
65.86,0,success,none,task=customer_dim_build.load target=raw.orders status=OK run_id=job_40495_426f62 committed partitions=27 at 2026-04-01T20:26:03Z | attempt=1 hostname=worker-13 memory_mb=3681
741.84,0,success,none,Spark DAG zipcode_metrics_refresh completed successfully for table analytics.session_rollup; rows=1213861 duration=741.84s job_id=job_85674_b87250 ts=2026-04-03T01:40:06Z
426.54,4,failed,data_quality,DQ rule violation in clickstream_spark_job: negative amount detected in raw.orders; bad_rows=7518
395.1,3,error,none,task=zipcode_metrics_refresh.load target=fact_orders status=OK run_id=job_60432_b94db2 committed partitions=1 at 2026-04-15T19:15:52Z | attempt=4 hostname=worker-24 memory_mb=24094
384.93,0,failed,permission,403 Forbidden from object store during fraud_features_etl; check IAM policy for table=stg.payments
1203.45,1,warning,none,Glue DAG inventory_sync completed successfully for table analytics.session_rollup; rows=88304 duration=1203.45s job_id=job_77839_2a0537 ts=2026-04-08T08:10:51Z
268.3,0,error,data_quality,DQ rule violation in fraud_features_etl: negative amount detected in raw.orders; bad_rows=1234
331.24,0,success,none,dbt DAG clickstream_spark_job completed successfully for table raw.customers; rows=690618 duration=331.24s job_id=job_63269_ca5e14 ts=2026-04-07T14:36:05Z
577.06,0,success,none,"dbt model stg_payments finished: PASS, freshness within SLA, invocation_id=job_18907_b5d7f9"
7.42,6,timeout,missing_file,Input path not found s3://lake/customer_dim_build/dt=2026-04-05/part-000.snappy.parquet; job_id=job_37938_d97edc
227.91,2,failed,timeout,Glue task fraud_features_etl exceeded execution_timeout after 227.91s; last heartbeat lost; job_id=job_42914_5032d3 table=mart.revenue_daily ts=2026-04-28T01:50:58Z | attempt=3 hostname=worker-23 memory_mb=5396
480.73,2,success,none,"dbt model dim_user finished: PASS, freshness within SLA, invocation_id=job_42706_a9cad2"
492.7,0,success,none,dbt DAG clickstream_spark_job completed successfully for table mart.revenue_daily; rows=291251 duration=492.7s job_id=job_13101_4f509a ts=2026-04-13T11:57:05Z
40.97,0,success,none,Prefect DAG fraud_features_etl completed successfully for table billing.invoices; rows=1385039 duration=40.97s job_id=job_97900_af945c ts=2026-04-14T02:32:51Z
192.77,0,success,none,Prefect DAG zipcode_metrics_refresh completed successfully for table crm.leads; rows=711817 duration=192.77s job_id=job_52237_7c0a82 ts=2026-04-15T07:46:50Z | attempt=1 hostname=worker-8 memory_mb=16081
248.8,0,success,none,task=daily_orders_ingest.load target=warehouse.shipments status=OK run_id=job_65724_110794 committed partitions=16 at 2026-04-26T18:51:29Z
381.65,0,success,none,dbt DAG dbt_marts_run completed successfully for table raw.customers; rows=970060 duration=381.65s job_id=job_45614_66bf03 ts=2026-04-18T02:56:01Z
264.49,4,success,upstream_dependency,External dependency not ready: watermark behind by 221 minutes for pipeline=fraud_features_etl
229.77,3,failed,data_quality,"Great Expectations checkpoint failed for fact_orders: null_rate=0.64, duplicate_keys=1339 job_id=job_43065_1ac9f4"
6186.09,3,error,upstream_dependency,Upstream dependency kafka_orders delayed; skipping dbt_marts_run for stg.payments; job_id=job_85849_212965
14.45,1,success,none,task=payment_recon.load target=inventory_snapshot status=OK run_id=job_33086_70676e committed partitions=31 at 2026-04-21T09:50:00Z
178.6,1,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_77715_14805f"
280.44,0,success,none,Prefect DAG customer_dim_build completed successfully for table stg_events.clickstream; rows=776654 duration=280.44s job_id=job_35242_e73fa5 ts=2026-04-24T19:30:36Z
1748.17,1,success,none,Dagster DAG daily_orders_ingest completed successfully for table raw.customers; rows=215569 duration=1748.17s job_id=job_47268_f6f9ba ts=2026-04-15T12:24:17Z | attempt=2 hostname=worker-14 memory_mb=20379
265.87,1,success,none,Prefect DAG zipcode_metrics_refresh completed successfully for table raw.orders; rows=340604 duration=265.87s job_id=job_23006_412134 ts=2026-04-07T22:46:27Z
401.79,3,success,none,"dbt model fact_orders finished: PASS, freshness within SLA, invocation_id=job_39466_52e6a5"
563.06,2,error,timeout,Dagster task dbt_marts_run exceeded execution_timeout after 563.06s; last heartbeat lost; job_id=job_15273_c8da1e table=raw.orders ts=2026-04-06T17:07:49Z
227.8,6,degraded,none,Airflow DAG fraud_features_etl completed successfully for table fact_orders; rows=2174572 duration=227.8s job_id=job_96200_ef9550 ts=2026-04-15T15:02:45Z
2243.27,0,success,none,"dbt model raw_customers finished: PASS, freshness within SLA, invocation_id=job_48254_46a115"
316.39,1,degraded,data_quality,"row_count anomaly for billing.invoices: expected 100k-130k, observed 21747; quarantined batch"
529.01,6,warning,none,"dbt model raw_customers finished: PASS, freshness within SLA, invocation_id=job_54375_abc88e | attempt=7 hostname=worker-4 memory_mb=21278"
6.02,0,success,none,"dbt model stg_events_clickstream finished: PASS, freshness within SLA, invocation_id=job_84177_c38162 | attempt=1 hostname=worker-15 memory_mb=9937"
133.46,0,success,none,task=dbt_marts_run.load target=stg.payments status=OK run_id=job_72071_6480d7 committed partitions=6 at 2026-04-10T14:28:16Z
395.1,0,warning,schema_mismatch,Spark AnalysisException: Cannot resolve column 'event_ts' in input schema for pipeline=daily_orders_ingest table=inventory_snapshot
247.49,2,success,none,Airflow DAG inventory_sync completed successfully for table billing.invoices; rows=1099664 duration=247.49s job_id=job_61717_ef6990 ts=2026-04-18T04:29:59Z
14.94,0,success,none,task=fraud_features_etl.load target=stg_events.clickstream status=OK run_id=job_60940_cafc85 committed partitions=27 at 2026-04-22T19:40:04Z | attempt=1 hostname=worker-22 memory_mb=12548
4991.14,2,success,timeout,Airflow task daily_orders_ingest exceeded execution_timeout after 4991.14s; last heartbeat lost; job_id=job_53713_05ac7f table=crm.leads ts=2026-04-05T20:33:20Z
58.68,1,warning,none,task=billing_export_load.load target=stg.payments status=OK run_id=job_24896_a5c9f4 committed partitions=38 at 2026-04-16T16:19:16Z
88.82,1,success,none,task=fraud_features_etl.load target=crm.leads status=OK run_id=job_52622_dc5f9c committed partitions=39 at 2026-04-20T19:19:01Z
292.45,0,success,none,task=customer_dim_build.load target=raw.customers status=OK run_id=job_22656_c71214 committed partitions=36 at 2026-04-12T04:44:14Z
461.12,1,success,none,"dbt model fact_orders finished: PASS, freshness within SLA, invocation_id=job_90422_549c83"
253.53,3,failed,data_quality,"Great Expectations checkpoint failed for crm.leads: null_rate=0.41, duplicate_keys=14504 job_id=job_16895_1d0004"
5.22,0,success,none,task=dbt_marts_run.load target=stg.payments status=OK run_id=job_53007_2b5b18 committed partitions=35 at 2026-04-16T15:40:46Z
376.6,2,success,none,task=customer_dim_build.load target=dim_user status=OK run_id=job_23875_07137c committed partitions=20 at 2026-04-19T14:34:47Z
398.47,0,success,none,"dbt model analytics_session_rollup finished: PASS, freshness within SLA, invocation_id=job_83889_405162 | attempt=1 hostname=worker-15 memory_mb=15320"
261.47,2,failed,missing_file,Airflow sensor daily_orders_ingest.wait_for_file failed: gs://bucket/raw/warehouse.shipments/2026-04-11.csv missing
2541.92,0,failed,missing_file,Airflow sensor fraud_features_etl.wait_for_file failed: gs://bucket/raw/raw.customers/2026-04-24.csv missing
392.92,0,success,none,Spark DAG daily_orders_ingest completed successfully for table dim_user; rows=2039648 duration=392.92s job_id=job_50483_dc20e4 ts=2026-04-07T12:26:31Z
6.1,3,timeout,schema_mismatch,Schema validation failed for inventory_snapshot: expected column customer_id INT but found STRING; job_id=job_68841_e63310 ts=2026-04-08T11:16:02Z
3153.5,1,timeout,schema_mismatch,Schema validation failed for stg.payments: expected column customer_id INT but found STRING; job_id=job_77286_cfb4c6 ts=2026-04-14T03:20:21Z
507.11,3,error,data_quality,"row_count anomaly for inventory_snapshot: expected 100k-130k, observed 9868; quarantined batch"
5.94,1,success,data_quality,DQ rule violation in customer_dim_build: negative amount detected in stg.payments; bad_rows=6339
391.04,2,success,none,Prefect DAG crm_delta_merge completed successfully for table analytics.session_rollup; rows=1919727 duration=391.04s job_id=job_72722_de57f8 ts=2026-04-26T04:54:35Z
539.22,3,warning,missing_file,FileNotFoundError: landing file for fact_orders was not present by cutoff; sensor waited 10m
598.92,0,success,none,Prefect DAG customer_dim_build completed successfully for table raw.orders; rows=598940 duration=598.92s job_id=job_93560_be4e64 ts=2026-04-17T05:49:29Z
161.02,0,success,none,Glue DAG payment_recon completed successfully for table warehouse.shipments; rows=1091814 duration=161.02s job_id=job_77861_2f8208 ts=2026-04-18T04:17:15Z
8.59,3,success,none,"dbt model stg_payments finished: PASS, freshness within SLA, invocation_id=job_76683_07baa7"
90.08,2,success,none,"dbt model billing_invoices finished: PASS, freshness within SLA, invocation_id=job_26912_ba6369"
380.32,3,success,none,task=zipcode_metrics_refresh.load target=dim_user status=OK run_id=job_13718_569d8a committed partitions=37 at 2026-04-21T20:59:58Z | attempt=4 hostname=worker-2 memory_mb=5691
518.55,5,success,none,Dagster DAG inventory_sync completed successfully for table stg.payments; rows=1885822 duration=518.55s job_id=job_83616_4de723 ts=2026-04-08T16:59:01Z
44.57,0,success,permission,permission denied for schema analytics while executing INSERT into analytics.session_rollup; user=svc_etl
487.19,1,error,none,task=payment_recon.load target=dim_user status=OK run_id=job_88966_bfa65b committed partitions=46 at 2026-04-17T01:27:56Z
492.21,0,success,none,"dbt model analytics_session_rollup finished: PASS, freshness within SLA, invocation_id=job_86507_2bd2b2"
308.56,1,success,none,task=daily_orders_ingest.load target=inventory_snapshot status=OK run_id=job_28098_e7cd99 committed partitions=34 at 2026-04-18T11:50:04Z
437.74,1,failed,permission,403 Forbidden from object store during fraud_features_etl; check IAM policy for table=dim_user
147.02,0,success,none,unknown
405.24,5,warning,upstream_dependency,External dependency not ready: watermark behind by 310 minutes for pipeline=zipcode_metrics_refresh | attempt=6 hostname=worker-11 memory_mb=9836
488.16,0,success,none,Prefect DAG crm_delta_merge completed successfully for table warehouse.shipments; rows=2381527 duration=488.16s job_id=job_43720_a0cedd ts=2026-04-01T12:16:25Z
350.13,0,success,none,Airflow DAG clickstream_spark_job completed successfully for table dim_user; rows=2107803 duration=350.13s job_id=job_97528_b4a1e7 ts=2026-04-10T05:48:54Z
460.69,1,success,none,"dbt model crm_leads finished: PASS, freshness within SLA, invocation_id=job_68556_1a5e07"
7.47,3,warning,permission,403 Forbidden from object store during daily_orders_ingest; check IAM policy for table=warehouse.shipments
425.5,2,error,none,Prefect DAG payment_recon completed successfully for table billing.invoices; rows=934110 duration=425.5s job_id=job_55582_7aa1fd ts=2026-04-18T14:18:38Z
24.15,0,success,none,"dbt model raw_customers finished: PASS, freshness within SLA, invocation_id=job_68515_84b878"
356.19,2,warning,none,"dbt model warehouse_shipments finished: PASS, freshness within SLA, invocation_id=job_98965_d62aa5"
208.2,0,success,none,Airflow DAG inventory_sync completed successfully for table inventory_snapshot; rows=165954 duration=208.2s job_id=job_80206_b80986 ts=2026-04-07T01:52:35Z
2256.24,3,error,upstream_dependency,Upstream dependency vendor_sftp delayed; skipping crm_delta_merge for fact_orders; job_id=job_95029_f0d781
307.09,1,success,none,task=inventory_sync.load target=analytics.session_rollup status=OK run_id=job_74044_1065c0 committed partitions=11 at 2026-04-21T17:51:43Z
561.33,3,success,none,-
552.06,0,success,none,task=clickstream_spark_job.load target=stg_events.clickstream status=OK run_id=job_79003_81d3fd committed partitions=24 at 2026-04-12T09:43:58Z
346.03,2,success,none,Airflow DAG fraud_features_etl completed successfully for table raw.customers; rows=195375 duration=346.03s job_id=job_40115_e80fea ts=2026-04-28T20:38:09Z
539.47,0,success,none,task=payment_recon.load target=warehouse.shipments status=OK run_id=job_20279_da7c44 committed partitions=5 at 2026-04-12T01:57:18Z
159.17,0,success,none,"dbt model mart_revenue_daily finished: PASS, freshness within SLA, invocation_id=job_93086_256748"
3360.46,3,timeout,timeout,Spark executor heartbeat timeout while writing warehouse.shipments; stage=37 retry=3; java.net.SocketTimeoutException: Read timed out
391.11,3,degradedd,none,"dbt model dim_user finished: PASS, freshness within SLA, invocation_id=job_66441_0093ac"
8.89,1,success,none,task=payment_recon.load target=billing.invoices status=OK run_id=job_82102_de71c0 committed partitions=29 at 2026-04-24T16:48:25Z | attempt=2 hostname=worker-20 memory_mb=16215
6125.88,4,degraded,none,"dbt model crm_leads finished: PASS, freshness within SLA, invocation_id=job_42536_9e931d"
216.81,0,success,none,"dbt model raw_customers finished: PASS, freshness within SLA, invocation_id=job_21253_dcafad | attempt=1 hostname=worker-11 memory_mb=21744"
284.5,1,degraded,dbt_error,Database Error in model fact_orders: relation source_events does not exist
